time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,6.8,93,5.8,0,0.0,0.0,0.0,0.0,0.0,0,1016.8,1013.5,0,-0.0,0.07,8.3,14,15.1,4.9,9.7,12.1,11.4,0.298,0.3,0.303,0.315,0.342
2026-03-23 01:00:00,5.7,92,4.5,0,0.0,0.0,0.0,0.0,0.0,0,1017.2,1013.8,9,-0.0,0.07,7.9,318,13.7,4.3,9.1,11.9,11.4,0.298,0.3,0.303,0.315,0.342
2026-03-23 02:00:00,5.5,92,4.3,0,0.0,0.0,0.0,0.0,0.0,3,1017.3,1013.9,100,-0.0,0.07,6.5,315,11.5,4.0,8.3,11.5,11.4,0.298,0.3,0.303,0.315,0.342
2026-03-23 03:00:00,5.5,94,4.6,0,0.0,0.0,0.0,0.0,0.0,3,1017.4,1014.0,100,-0.0,0.05,5.0,316,9.4,3.5,7.9,11.2,11.4,0.298,0.3,0.303,0.315,0.342
2026-03-23 04:00:00,5.0,96,4.4,0,0.0,0.0,0.0,0.0,0.0,3,1017.8,1014.4,100,-0.0,0.04,5.4,318,10.1,4.0,7.7,10.9,11.4,0.298,0.3,0.303,0.314,0.341
2026-03-23 05:00:00,5.5,95,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1017.9,1014.5,100,-0.0,0.05,4.7,312,9.0,4.0,7.2,10.6,11.4,0.308,0.309,0.312,0.318,0.341
2026-03-23 06:00:00,4.9,98,4.6,0,0.0,0.0,0.0,0.0,0.0,3,1017.9,1014.5,100,-0.0,0.02,4.7,309,10.1,3.2,6.9,10.3,11.4,0.307,0.308,0.311,0.318,0.341
2026-03-23 07:00:00,5.0,96,4.4,0,0.0,0.0,0.0,0.0,0.0,3,1018.6,1015.2,100,-0.0,0.04,3.2,274,6.5,3.2,6.7,10.0,11.3,0.306,0.308,0.311,0.318,0.341
2026-03-23 08:00:00,4.3,94,3.4,0,0.0,0.0,0.0,0.0,0.0,1,1019.1,1015.7,40,-0.0,0.05,5.0,274,7.6,1.4,6.1,9.7,11.3,0.306,0.307,0.311,0.318,0.341
2026-03-23 09:00:00,4.0,98,3.7,0,0.0,0.0,0.0,0.0,0.0,45,1019.7,1016.3,100,-0.0,0.02,3.2,22,10.1,5.6,6.3,9.4,11.3,0.305,0.306,0.31,0.318,0.341
2026-03-23 10:00:00,5.9,96,5.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.5,1017.2,100,0.01,0.04,2.5,4,8.6,9.5,7.2,9.2,11.3,0.304,0.306,0.31,0.318,0.341
2026-03-23 11:00:00,9.0,89,7.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.7,1017.4,99,0.01,0.13,7.2,15,15.5,13.1,9.3,9.2,11.2,0.304,0.305,0.309,0.318,0.341
2026-03-23 12:00:00,8.6,84,6.1,0,0.0,0.0,0.0,0.0,0.0,3,1021.0,1017.7,86,0.03,0.18,6.5,344,15.5,15.8,11.4,9.4,11.2,0.303,0.305,0.309,0.318,0.341
2026-03-23 13:00:00,12.6,63,5.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.0,1017.7,100,0.04,0.54,3.6,339,12.6,17.6,13.6,9.7,11.2,0.302,0.304,0.308,0.318,0.341
2026-03-23 14:00:00,13.4,61,6.0,0,0.0,0.0,0.0,0.0,0.0,3,1021.0,1017.7,100,0.05,0.6,6.5,322,16.6,18.4,16.2,10.3,11.2,0.301,0.303,0.308,0.318,0.341
2026-03-23 15:00:00,13.7,61,6.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.9,1017.6,100,0.05,0.61,6.1,315,16.2,18.2,17.6,10.9,11.2,0.3,0.302,0.307,0.318,0.341
2026-03-23 16:00:00,14.8,54,5.6,0,0.0,0.0,0.0,0.0,0.0,3,1020.6,1017.3,100,0.05,0.77,5.4,303,15.8,17.5,18.2,11.6,11.2,0.299,0.302,0.307,0.317,0.341
2026-03-23 17:00:00,14.8,53,5.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.4,1017.1,100,0.05,0.79,5.4,289,15.8,16.1,18.7,12.2,11.2,0.298,0.301,0.306,0.317,0.341
2026-03-23 18:00:00,14.5,54,5.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.6,1017.3,100,0.04,0.76,5.4,281,14.4,14.6,18.1,12.8,11.2,0.297,0.3,0.305,0.317,0.341
2026-03-23 19:00:00,14.1,57,5.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.1,1017.8,100,0.03,0.69,7.2,287,14.8,12.3,16.7,13.1,11.2,0.297,0.299,0.305,0.317,0.341
2026-03-23 20:00:00,12.8,58,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.4,1018.1,100,0.01,0.62,2.5,301,5.4,8.4,15.3,13.4,11.2,0.296,0.298,0.304,0.317,0.341
2026-03-23 21:00:00,11.4,64,4.9,0,0.0,0.0,0.0,0.0,0.0,3,1021.8,1018.5,99,0.01,0.49,1.1,20,1.8,8.2,13.8,13.4,11.2,0.296,0.298,0.304,0.316,0.341
2026-03-23 22:00:00,10.7,81,7.6,0,0.0,0.0,0.0,0.0,0.0,3,1021.9,1018.6,96,-0.0,0.24,5.0,29,7.6,6.4,12.8,13.3,11.3,0.296,0.298,0.303,0.316,0.341
2026-03-23 23:00:00,9.6,83,6.9,0,0.0,0.0,0.0,0.0,0.0,3,1021.7,1018.4,100,-0.0,0.2,2.5,43,3.2,5.9,12.0,13.2,11.3,0.296,0.298,0.303,0.316,0.341
2026-03-24 00:00:00,9.3,84,6.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.5,1018.2,100,-0.0,0.19,6.5,184,9.4,6.2,11.3,13.0,11.3,0.296,0.298,0.303,0.316,0.341
2026-03-24 01:00:00,9.4,78,5.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.4,1018.1,100,-0.0,0.26,7.2,207,13.3,6.0,10.8,12.7,11.3,0.296,0.298,0.303,0.316,0.341
2026-03-24 02:00:00,9.1,74,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.6,1018.3,100,-0.0,0.3,9.0,224,16.9,6.3,10.6,12.5,11.3,0.296,0.298,0.303,0.315,0.341
2026-03-24 03:00:00,8.7,77,4.9,0,0.0,0.0,0.0,0.0,0.0,3,1021.6,1018.2,100,-0.0,0.26,10.8,215,19.8,5.8,10.3,12.3,11.3,0.295,0.297,0.302,0.315,0.341
2026-03-24 04:00:00,8.7,79,5.2,0,0.0,0.0,0.0,0.0,0.0,3,1021.3,1017.9,100,-0.0,0.24,11.5,217,20.9,5.8,10.0,12.1,11.3,0.295,0.297,0.302,0.315,0.341
2026-03-24 05:00:00,7.9,74,3.6,0,0.0,0.0,0.0,0.0,0.0,3,1020.6,1017.2,96,-0.0,0.28,12.6,213,22.0,5.8,9.8,11.9,11.3,0.301,0.303,0.307,0.318,0.341
2026-03-24 06:00:00,8.3,76,4.3,0,0.0,0.0,0.0,0.0,0.0,3,1020.4,1017.0,100,-0.0,0.26,13.0,185,23.0,4.8,9.4,11.6,11.3,0.3,0.302,0.307,0.318,0.341
2026-03-24 07:00:00,8.1,78,4.5,0,0.0,0.0,0.0,0.0,0.0,2,1020.3,1016.9,64,-0.0,0.24,11.2,194,21.6,4.7,9.1,11.4,11.3,0.3,0.302,0.306,0.317,0.341
2026-03-24 08:00:00,7.9,79,4.5,0,0.0,0.0,0.0,0.0,0.0,3,1019.9,1016.5,98,-0.0,0.22,11.9,187,21.6,5.8,9.0,11.2,11.3,0.299,0.301,0.306,0.317,0.34
2026-03-24 09:00:00,8.8,79,5.3,0,0.0,0.0,0.0,0.0,0.0,3,1019.6,1016.3,100,-0.0,0.24,14.4,197,26.3,7.3,9.1,11.0,11.3,0.299,0.301,0.306,0.317,0.34
2026-03-24 10:00:00,9.8,76,5.8,0,0.0,0.0,0.0,0.0,0.0,3,1019.7,1016.4,100,0.01,0.29,16.2,205,31.7,9.6,9.7,10.9,11.3,0.299,0.301,0.305,0.317,0.34
2026-03-24 11:00:00,10.5,69,5.1,0,0.0,0.0,0.0,0.0,0.0,3,1019.5,1016.2,100,0.01,0.4,18.0,210,33.8,11.5,11.0,10.8,11.3,0.298,0.3,0.305,0.317,0.34
2026-03-24 12:00:00,11.7,74,7.2,0,0.0,0.0,0.0,0.0,0.0,3,1018.9,1015.6,100,0.02,0.36,17.3,235,35.3,12.6,12.7,10.9,11.3,0.297,0.3,0.305,0.317,0.34
2026-03-24 13:00:00,13.0,70,7.6,0,0.0,0.0,0.0,0.0,0.0,3,1018.3,1015.0,100,0.04,0.45,16.9,231,34.9,15.3,14.9,11.2,11.3,0.296,0.299,0.304,0.316,0.34
2026-03-24 14:00:00,14.7,61,7.3,0,0.0,0.0,0.0,0.0,0.0,3,1017.6,1014.3,99,0.04,0.65,19.4,227,40.0,16.5,16.5,11.6,11.3,0.295,0.298,0.304,0.316,0.34
2026-03-24 15:00:00,14.6,68,8.8,0,0.0,0.0,0.0,0.0,0.0,2,1016.8,1013.6,61,0.05,0.53,20.5,238,42.8,17.1,17.9,12.1,11.3,0.294,0.297,0.303,0.316,0.34
2026-03-24 16:00:00,15.2,65,8.6,0,0.0,0.0,0.0,0.0,0.0,3,1015.8,1012.6,100,0.05,0.6,16.6,247,35.3,17.2,18.4,12.7,11.3,0.294,0.296,0.302,0.316,0.34
2026-03-24 17:00:00,15.9,54,6.6,0,0.0,0.0,0.0,0.0,0.0,3,1014.9,1011.7,100,0.05,0.83,19.1,241,39.2,15.6,18.2,13.1,11.3,0.293,0.296,0.302,0.315,0.34
2026-03-24 18:00:00,14.7,70,9.3,0,0.0,0.0,0.0,0.0,0.0,3,1014.2,1011.0,100,0.03,0.5,17.3,237,34.9,14.1,17.7,13.5,11.3,0.293,0.295,0.301,0.315,0.34
2026-03-24 19:00:00,14.4,72,9.4,0,0.0,0.0,0.0,0.0,0.0,3,1013.1,1009.8,100,0.02,0.46,15.1,237,30.6,12.2,16.5,13.8,11.4,0.292,0.295,0.301,0.315,0.34
2026-03-24 20:00:00,12.9,75,8.6,0,0.0,0.0,0.0,0.0,0.0,3,1012.6,1009.3,100,0.01,0.37,15.1,241,32.8,10.4,15.3,13.9,11.4,0.293,0.295,0.301,0.314,0.34
2026-03-24 21:00:00,11.7,82,8.7,0,0.0,0.0,0.0,0.0,0.0,3,1011.7,1008.4,100,0.01,0.25,19.8,211,39.6,9.1,13.7,13.9,11.4,0.293,0.295,0.3,0.314,0.34
2026-03-24 22:00:00,11.1,84,8.5,0,0.0,0.0,0.0,0.0,0.0,3,1010.6,1007.3,100,-0.0,0.21,16.2,199,31.7,8.4,12.5,13.7,11.4,0.293,0.295,0.3,0.314,0.34
2026-03-24 23:00:00,10.2,85,7.8,0,0.0,0.0,0.0,0.0,0.0,3,1008.6,1005.3,89,-0.0,0.19,15.5,183,32.8,8.6,12.0,13.5,11.5,0.293,0.295,0.3,0.314,0.34
2026-03-25 00:00:00,12.7,71,7.6,0,0.0,0.0,0.0,0.0,0.0,3,1007.4,1004.1,100,0.01,0.43,26.3,208,54.0,9.1,11.7,13.3,11.5,0.293,0.295,0.3,0.314,0.34
2026-03-25 01:00:00,12.2,73,7.5,0,0.0,0.0,0.0,0.0,0.0,3,1006.6,1003.3,100,0.01,0.38,31.7,232,67.3,9.2,11.9,13.1,11.5,0.292,0.294,0.3,0.313,0.34
2026-03-25 02:00:00,12.3,76,8.2,10,0.0,0.0,0.0,0.0,0.0,3,1005.5,1002.2,100,0.01,0.34,32.0,231,64.1,10.2,12.2,13.0,11.5,0.292,0.294,0.3,0.313,0.34
2026-03-25 03:00:00,11.5,84,8.9,41,0.9,0.9,0.0,0.0,0.0,53,1004.7,1001.4,100,0.01,0.22,34.2,241,69.1,9.9,12.2,12.9,11.5,0.293,0.294,0.299,0.313,0.34
2026-03-25 04:00:00,10.4,86,8.1,81,0.8,0.8,0.0,0.0,0.0,53,1004.1,1000.8,100,0.03,0.18,30.2,247,59.8,9.4,11.9,12.7,11.5,0.295,0.296,0.3,0.313,0.34
2026-03-25 05:00:00,9.8,78,6.1,100,0.1,0.1,0.0,0.0,0.0,51,1003.7,1000.4,0,0.02,0.27,31.7,255,63.0,7.8,11.4,12.6,11.5,0.303,0.304,0.305,0.315,0.341
2026-03-25 06:00:00,8.1,82,5.2,77,0.0,0.0,0.0,0.0,0.0,0,1003.7,1000.4,0,0.02,0.2,21.6,254,42.5,6.7,10.8,12.4,11.5,0.301,0.302,0.305,0.315,0.341
2026-03-25 07:00:00,7.8,80,4.5,33,0.0,0.0,0.0,0.0,0.0,3,1003.6,1000.3,96,0.01,0.21,17.6,256,36.4,5.9,10.3,12.2,11.5,0.3,0.301,0.305,0.315,0.341
2026-03-25 08:00:00,8.3,72,3.5,6,0.0,0.0,0.0,0.0,0.0,0,1004.3,1001.0,1,0.01,0.31,22.3,272,46.1,5.8,9.7,12.0,11.5,0.299,0.3,0.304,0.314,0.341
2026-03-25 09:00:00,7.4,73,2.9,14,0.0,0.0,0.0,0.0,0.0,1,1004.2,1000.9,21,0.02,0.28,20.2,281,41.0,6.8,9.5,11.7,11.5,0.298,0.3,0.304,0.314,0.341
2026-03-25 10:00:00,7.5,75,3.3,38,0.0,0.0,0.0,0.0,0.0,3,1004.7,1001.4,100,0.03,0.26,17.6,277,37.8,8.6,10.0,11.6,11.5,0.297,0.299,0.304,0.314,0.341
2026-03-25 11:00:00,8.0,74,3.6,59,0.0,0.0,0.0,0.0,0.0,3,1005.3,1002.0,100,0.03,0.28,20.5,288,41.4,10.2,10.8,11.5,11.5,0.296,0.298,0.303,0.314,0.34
2026-03-25 12:00:00,7.6,72,2.9,72,0.1,0.1,0.0,0.0,0.01,51,1005.3,1002.0,100,0.05,0.29,18.4,292,37.4,10.5,11.3,11.4,11.5,0.301,0.299,0.303,0.314,0.34
2026-03-25 13:00:00,8.0,73,3.5,83,0.0,0.0,0.0,0.0,0.0,3,1006.1,1002.8,100,0.06,0.29,19.4,297,38.9,9.0,11.2,11.4,11.5,0.302,0.302,0.303,0.314,0.34
2026-03-25 14:00:00,8.9,66,2.9,90,0.0,0.0,0.0,0.0,0.0,3,1007.0,1003.7,100,0.06,0.39,22.3,316,46.4,9.9,11.9,11.4,11.5,0.297,0.3,0.303,0.314,0.34
2026-03-25 15:00:00,8.7,68,3.1,91,0.0,0.0,0.0,0.0,0.0,3,1007.3,1004.0,100,0.06,0.36,20.9,306,44.3,12.1,12.4,11.5,11.5,0.296,0.298,0.303,0.314,0.34
2026-03-25 16:00:00,8.2,69,2.8,87,0.0,0.0,0.0,0.0,0.0,3,1008.0,1004.7,100,0.06,0.34,23.4,316,49.0,10.1,12.5,11.6,11.5,0.296,0.297,0.303,0.314,0.34
2026-03-25 17:00:00,6.5,80,3.3,82,0.0,0.0,0.0,0.0,0.0,3,1008.7,1005.4,100,0.07,0.19,23.4,291,48.2,9.4,11.9,11.6,11.5,0.297,0.298,0.302,0.314,0.34
2026-03-25 18:00:00,6.3,84,3.8,74,0.1,0.1,0.0,0.0,0.0,51,1009.4,1006.1,100,0.06,0.15,9.4,277,20.2,8.4,11.5,11.6,11.5,0.298,0.298,0.302,0.313,0.34
2026-03-25 19:00:00,6.5,82,3.7,64,1.7,1.7,0.0,0.0,0.0,61,1009.7,1006.4,96,0.06,0.18,21.6,287,45.4,6.8,10.6,11.6,11.5,0.297,0.299,0.302,0.313,0.34
2026-03-25 20:00:00,5.7,87,3.7,57,0.5,0.5,0.0,0.0,0.0,53,1010.7,1007.4,100,0.04,0.12,28.4,294,58.0,4.8,9.5,11.4,11.5,0.297,0.299,0.302,0.313,0.34
